ordinary "Ordinary Time"
advent "Advent"
lent "Great Lent"
holyWeek "Holy Week"
apostlesFast "Apostles' Fast"
dormitionFast "Dormition Fast"

zacchaeusSunday "Zacchaeus Sunday"

publican-pharisee "The Publican and the Pharisee"
publican-pharisee-week "Week of the Publican and the Pharisee"

cheesefare "Cheesefare Sunday"
cheesefare-week "{dayOfWeek} of Cheesefare"

lazarusSaturday "Lazarus Saturday"
palmSunday "Palm Sunday"

pascha "Holy Pascha"
pascha-afterfeast "Afterfeast of Pascha"
pascha-leavetaking "Leavetaking of Pascha"

ascension "Ascension of Our Lord"
ascension-forefeast "Forefeast of the Ascension"
ascension-afterfeast "Afterfeast of the Ascension"
ascension-leavetaking "Leavetaking of the Ascension"

pentecost "Pentecost"
pentecost-afterfeast "Afterfeast of Pentecost"
pentecost-leavetaking "Leavetaking of Pentecost"



christ-circumcision "The Circumcision of Our Lord"

theophany "The Theophany of Our Lord"
theophany-forefeast "Forefeast of the Theophany"
theophany-afterfeast "Afterfeast of the Theophany"
theophany-eve "Eve of the Theophany"
theophany-leavetaking "Leavetaking of the Theophany"

christ-presentation "The Presentation of Our Lord in the Temple"
christ-presentation-forefeast "Forefeast of the Presentation of Our Lord"
christ-presentation-afterfeast "Afterfeast of the Presentation of Our Lord"
christ-presentation-leavetaking "Leavetaking of the Presentation of Our Lord"

annunciation "Annunciation to the Theotokos"
annunciation-forefeast "Forefeast of the Annunciation"
annunciation-afterfeast "Afterfeast of the Annunciation"
annunciation-leavetaking "Leavetaking of the Annunciation"

peter-paul "Ss Peter and Paul"

transfiguration "Transfiguration of Our Lord"
transfiguration-forefeast "Forefeast of the Transfiguration"
transfiguration-afterfeast "Afterfeast of the Transfiguration"
transfiguration-leavetaking "Leavetaking of the Transfiguration"

theotokos-dormition "Dormition of the Theotokos"
theotokos-dormition-forefeast "Forefeast of the Dormition"
theotokos-dormition-afterfeast "Afterfeast of the Dormition"
theotokos-dormition-leavetaking "Leavetaking of the Dormition"

